,Series_Title,Genre,Overview,Director,Actors
218,Spotlight,"Biography, Crime, Drama","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Tom McCarthy,Mark RuffaloMichael KeatonRachel McAdams
219,Song of the Sea,"Animation, Adventure, Drama","Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.",Tomm Moore,David RawleBrendan GleesonLisa Hannigan
220,Kahaani,"Mystery, Thriller","A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",Sujoy Ghosh,Vidya BalanParambrata ChattopadhyayIndraneil Sengupta
221,Zindagi Na Milegi Dobara,"Comedy, Drama",Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,Zoya Akhtar,Hrithik RoshanFarhan AkhtarAbhay Deol
222,Prisoners,"Crime, Drama, Mystery","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",Denis Villeneuve,Hugh JackmanJake GyllenhaalViola Davis
223,Mad Max: Fury Road,"Action, Adventure, Sci-Fi","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",George Miller,Tom HardyCharlize TheronNicholas Hoult
224,A Wednesday,"Action, Crime, Drama",A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.,Neeraj Pandey,Anupam KherNaseeruddin ShahJimmy Sheirgill
225,Gran Torino,Drama,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",Clint Eastwood,Clint EastwoodBee VangChristopher Carley
226,Harry Potter and the Deathly Hallows: Part 2,"Adventure, Drama, Fantasy","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",David Yates,Daniel RadcliffeEmma WatsonRupert Grint
227,Okuribito,"Drama, Music",A newly unemployed cellist takes a job preparing the dead for funerals.,Yôjirô Takita,Masahiro MotokiRyôko HirosueTsutomu Yamazaki
228,Hachi: A Dog's Tale,"Biography, Drama, Family",A college professor bonds with an abandoned dog he takes into his home.,Lasse Hallström,Richard GereJoan AllenCary-Hiroyuki Tagawa
229,Mary and Max,"Animation, Comedy, Drama","A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",Adam Elliot,Toni CollettePhilip Seymour HoffmanEric Bana
230,How to Train Your Dragon,"Animation, Action, Adventure","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",Dean DeBlois,Chris SandersJay BaruchelGerard Butler
231,Into the Wild,"Adventure, Biography, Drama","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",Sean Penn,Emile HirschVince VaughnCatherine Keener
232,No Country for Old Men,"Crime, Drama, Thriller",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,Ethan Coen,Joel CoenTommy Lee JonesJavier Bardem
233,Lage Raho Munna Bhai,"Comedy, Drama, Romance",Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,Rajkumar Hirani,Sanjay DuttArshad WarsiVidya Balan
234,Million Dollar Baby,"Drama, Sport",A determined woman works with a hardened boxing trainer to become a professional.,Clint Eastwood,Hilary SwankClint EastwoodMorgan Freeman
235,Hotel Rwanda,"Biography, Drama, History","Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",Terry George,Don CheadleSophie OkonedoJoaquin Phoenix
236,Taegukgi hwinalrimyeo,"Action, Drama, War","When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",Je-kyu Kang,Jang Dong-GunWon BinEun-ju Lee
237,Before Sunset,"Drama, Romance","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Richard Linklater,Ethan HawkeJulie DelpyVernon Dobtcheff
238,Munna Bhai M.B.B.S.,"Comedy, Drama, Musical",A gangster sets out to fulfill his father's dream of becoming a doctor.,Rajkumar Hirani,Sanjay DuttArshad WarsiGracy Singh
239,Salinui chueok,"Crime, Drama, Mystery","In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Bong Joon Ho,Kang-ho SongKim Sang-kyungRoe-ha Kim
240,Dil Chahta Hai,"Comedy, Drama, Romance","Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",Farhan Akhtar,Aamir KhanSaif Ali KhanAkshaye Khanna
241,Kill Bill: Vol. 1,"Action, Crime, Drama","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Quentin Tarantino,Uma ThurmanDavid CarradineDaryl Hannah
242,Finding Nemo,"Animation, Adventure, Comedy","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Andrew Stanton,Lee UnkrichAlbert BrooksEllen DeGeneres
243,Catch Me If You Can,"Biography, Crime, Drama","Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Steven Spielberg,Leonardo DiCaprioTom HanksChristopher Walken
244,Amores perros,"Drama, Thriller","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",Alejandro G. Iñárritu,Emilio EchevarríaGael García BernalGoya Toledo
245,"Monsters, Inc.","Animation, Adventure, Comedy","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",Pete Docter,David SilvermanLee UnkrichBilly Crystal
246,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni","Animation, Action, Drama",Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,Hideaki Anno,Kazuya TsurumakiMegumi OgataMegumi Hayashibara
247,Lagaan: Once Upon a Time in India,"Adventure, Drama, Musical",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,Ashutosh Gowariker,Aamir KhanRaghuvir YadavGracy Singh
248,The Sixth Sense,"Drama, Mystery, Thriller",A boy who communicates with spirits seeks the help of a disheartened child psychologist.,M. Night Shyamalan,Bruce WillisHaley Joel OsmentToni Collette
249,La leggenda del pianista sull'oceano,"Drama, Music, Romance","A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",Giuseppe Tornatore,Tim RothPruitt Taylor VinceMélanie Thierry
250,The Truman Show,"Comedy, Drama",An insurance salesman discovers his whole life is actually a reality TV show.,Peter Weir,Jim CarreyEd HarrisLaura Linney
251,"Crna macka, beli macor","Comedy, Crime, Romance",Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,Emir Kusturica,Bajram SeverdzanSrdjan 'Zika' TodorovicBranka Katic
252,The Big Lebowski,"Comedy, Crime, Sport","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",Joel Coen,Ethan CoenJeff BridgesJohn Goodman
253,Fa yeung nin wah,"Drama, Romance","Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",Kar-Wai Wong,Tony Chiu-Wai LeungMaggie CheungPing Lam Siu
254,Trainspotting,Drama,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Danny Boyle,Ewan McGregorEwen BremnerJonny Lee Miller
255,Fargo,"Crime, Drama, Thriller",Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,Joel Coen,Ethan CoenWilliam H. MacyFrances McDormand
256,Underground,"Comedy, Drama, War","A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate.",Emir Kusturica,Predrag 'Miki' ManojlovicLazar RistovskiMirjana Jokovic
257,La haine,"Crime, Drama",24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Mathieu Kassovitz,Vincent CasselHubert KoundéSaïd Taghmaoui
258,Dilwale Dulhania Le Jayenge,"Drama, Romance","When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",Aditya Chopra,Shah Rukh KhanKajolAmrish Puri
259,Before Sunrise,"Drama, Romance","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Richard Linklater,Ethan HawkeJulie DelpyAndrea Eckert
260,Trois couleurs: Rouge,"Drama, Mystery, Romance",A model discovers a retired judge is keen on invading people's privacy.,Krzysztof Kieslowski,Irène JacobJean-Louis TrintignantFrédérique Feder
261,Chung Hing sam lam,"Comedy, Crime, Drama","Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.",Kar-Wai Wong,Brigitte LinTakeshi KaneshiroTony Chiu-Wai Leung
262,Jurassic Park,"Action, Adventure, Sci-Fi",A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Steven Spielberg,Sam NeillLaura DernJeff Goldblum
263,In the Name of the Father,"Biography, Crime, Drama",A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,Jim Sheridan,Daniel Day-LewisPete PostlethwaiteAlison Crosbie
264,Ba wang bie ji,"Drama, Music, Romance",Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,Kaige Chen,Leslie CheungFengyi ZhangGong Li
265,Dà hóng denglong gaogao guà,"Drama, History, Romance","A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.",Yimou Zhang,Gong LiJingwu MaSaifei He
266,Dead Poets Society,"Comedy, Drama",Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,Peter Weir,Robin WilliamsRobert Sean LeonardEthan Hawke
267,Stand by Me,"Adventure, Drama","After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",Rob Reiner,Wil WheatonRiver PhoenixCorey Feldman
268,Platoon,"Drama, War","Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",Oliver Stone,Charlie SheenTom BerengerWillem Dafoe
269,"Paris, Texas",Drama,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Wim Wenders,Harry Dean StantonNastassja KinskiDean Stockwell
270,Kaze no tani no Naushika,"Animation, Adventure, Fantasy",Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,Hayao Miyazaki,Sumi ShimamotoMahito TsujimuraHisako Kyôda
271,The Thing,"Horror, Mystery, Sci-Fi",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,John Carpenter,Kurt RussellWilford BrimleyKeith David
272,Pink Floyd: The Wall,"Drama, Fantasy, Music",A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,Alan Parker,Bob GeldofChristine HargreavesJames Laurenson
273,Fitzcarraldo,"Adventure, Drama","The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.",Werner Herzog,Klaus KinskiClaudia CardinaleJosé Lewgoy
274,Fanny och Alexander,Drama,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",Ingmar Bergman,Bertil GuvePernilla AllwinKristina Adolphson
275,Blade Runner,"Action, Sci-Fi, Thriller","A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",Ridley Scott,Harrison FordRutger HauerSean Young
276,The Elephant Man,"Biography, Drama","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",David Lynch,Anthony HopkinsJohn HurtAnne Bancroft
277,Life of Brian,Comedy,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",Terry Jones,Graham ChapmanJohn CleeseMichael Palin
278,The Deer Hunter,"Drama, War",An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,Michael Cimino,Robert De NiroChristopher WalkenJohn Cazale
279,Rocky,"Drama, Sport",A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,John G. Avildsen,Sylvester StalloneTalia ShireBurt Young
280,Network,Drama,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,Sidney Lumet,Faye DunawayWilliam HoldenPeter Finch
281,Barry Lyndon,"Adventure, Drama, History",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Stanley Kubrick,Ryan O'NealMarisa BerensonPatrick Magee
282,Zerkalo,"Biography, Drama","A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",Andrei Tarkovsky,Margarita TerekhovaFilipp YankovskiyIgnat Daniltsev
283,Chinatown,"Drama, Mystery, Thriller","A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",Roman Polanski,Jack NicholsonFaye DunawayJohn Huston
284,Paper Moon,"Comedy, Crime, Drama","During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",Peter Bogdanovich,Ryan O'NealTatum O'NealMadeline Kahn
285,Viskningar och rop,Drama,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",Ingmar Bergman,Harriet AnderssonLiv UllmannKari Sylwan
286,Solaris,"Drama, Mystery, Sci-Fi",A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,Andrei Tarkovsky,Natalya BondarchukDonatas BanionisJüri Järvet
287,Le samouraï,"Crime, Drama, Mystery",After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,Jean-Pierre Melville,Alain DelonFrançois PérierNathalie Delon
288,Cool Hand Luke,"Crime, Drama","A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Stuart Rosenberg,Paul NewmanGeorge KennedyStrother Martin
289,Persona,"Drama, Thriller",A nurse is put in charge of a mute actress and finds that their personae are melding together.,Ingmar Bergman,Bibi AnderssonLiv UllmannMargaretha Krook
290,Andrei Rublev,"Biography, Drama, History","The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",Andrei Tarkovsky,Anatoliy SolonitsynIvan LapikovNikolay Grinko
291,La battaglia di Algeri,"Drama, War","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Gillo Pontecorvo,Brahim HadjadjJean MartinYacef Saadi
292,El ángel exterminador,"Drama, Fantasy",The guests at an upper-class dinner party find themselves unable to leave.,Luis Buñuel,Silvia PinalJacqueline AndereEnrique Rambal
293,What Ever Happened to Baby Jane?,"Drama, Horror, Thriller",A former child star torments her paraplegic sister in their decaying Hollywood mansion.,Robert Aldrich,Bette DavisJoan CrawfordVictor Buono
294,Sanjuro,"Action, Comedy, Crime","A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent.",Akira Kurosawa,Toshirô MifuneTatsuya NakadaiKeiju Kobayashi
295,The Man Who Shot Liberty Valance,"Drama, Western",A senator returns to a western town for the funeral of an old friend and tells the story of his origins.,John Ford,James StewartJohn WayneVera Miles
296,Ivanovo detstvo,"Drama, War","In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers.",Andrei Tarkovsky,Eduard AbalovNikolay BurlyaevValentin Zubkov
297,Jungfrukällan,Drama,"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way.",Ingmar Bergman,Max von SydowBirgitta ValbergGunnel Lindblom
298,Inherit the Wind,"Biography, Drama, History","Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution.",Stanley Kramer,Spencer TracyFredric MarchGene Kelly
299,Les quatre cents coups,"Crime, Drama","A young boy, left without attention, delves into a life of petty crime.",François Truffaut,Jean-Pierre LéaudAlbert RémyClaire Maurier
300,Ben-Hur,"Adventure, Drama, History","After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",William Wyler,Charlton HestonJack HawkinsStephen Boyd
301,Kakushi-toride no san-akunin,"Adventure, Drama","Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",Akira Kurosawa,Toshirô MifuneMisa UeharaMinoru Chiaki
302,Le notti di Cabiria,Drama,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,Federico Fellini,Giulietta MasinaFrançois PérierFranca Marzi
303,Kumonosu-jô,"Drama, History","A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",Akira Kurosawa,Toshirô MifuneMinoru ChiakiIsuzu Yamada
304,The Bridge on the River Kwai,"Adventure, Drama, War","British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.",David Lean,William HoldenAlec GuinnessJack Hawkins
305,On the Waterfront,"Crime, Drama, Thriller",An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,Elia Kazan,Marlon BrandoKarl MaldenLee J. Cobb
306,Le salaire de la peur,"Adventure, Drama, Thriller","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Henri-Georges Clouzot,Yves MontandCharles VanelPeter van Eyck
307,Ace in the Hole,"Drama, Film-Noir","A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",Billy Wilder,Kirk DouglasJan SterlingRobert Arthur
308,White Heat,"Action, Crime, Drama",A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,Raoul Walsh,James CagneyVirginia MayoEdmond O'Brien
309,The Third Man,"Film-Noir, Mystery, Thriller","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Carol Reed,Orson WellesJoseph CottenAlida Valli
310,The Red Shoes,"Drama, Music, Romance",A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,Michael Powell,Emeric PressburgerAnton WalbrookMarius Goring
311,The Shop Around the Corner,"Comedy, Drama, Romance","Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",Ernst Lubitsch,Margaret SullavanJames StewartFrank Morgan
312,Rebecca,"Drama, Mystery, Romance",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Alfred Hitchcock,Laurence OlivierJoan FontaineGeorge Sanders
313,Mr. Smith Goes to Washington,"Comedy, Drama","A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",Frank Capra,James StewartJean ArthurClaude Rains
314,Gone with the Wind,"Drama, History, Romance",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,Victor Fleming,George CukorSam WoodClark Gable
315,La Grande Illusion,"Drama, War","During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",Jean Renoir,Jean GabinDita ParloPierre Fresnay
316,It Happened One Night,"Comedy, Romance","A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",Frank Capra,Clark GableClaudette ColbertWalter Connolly
317,La passion de Jeanne d'Arc,"Biography, Drama, History","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Carl Theodor Dreyer,Maria FalconettiEugene SilvainAndré Berley
318,The Circus,"Comedy, Romance",The Tramp finds work and the girl of his dreams at a circus.,Charles Chaplin,Charles ChaplinMerna KennedyAl Ernest Garcia
319,Sunrise: A Song of Two Humans,"Drama, Romance",An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,F.W. Murnau,George O'BrienJanet GaynorMargaret Livingston
320,The General,"Action, Adventure, Comedy","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",Clyde Bruckman,Buster KeatonBuster KeatonMarion Mack
321,Das Cabinet des Dr. Caligari,"Fantasy, Horror, Mystery","Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",Robert Wiene,Werner KraussConrad VeidtFriedrich Feher
322,Badhaai ho,"Comedy, Drama",A man is embarrassed when he finds out his mother is pregnant.,Amit Ravindernath Sharma,Ayushmann KhurranaNeena GuptaGajraj Rao
323,Togo,"Adventure, Biography, Drama","The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race.",Ericson Core,Willem DafoeJulianne NicholsonChristopher Heyerdahl
324,Airlift,"Drama, History","When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",Raja Menon,Akshay KumarNimrat KaurKumud Mishra
325,Bajrangi Bhaijaan,"Action, Adventure, Comedy",An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,Kabir Khan,Salman KhanHarshaali MalhotraNawazuddin Siddiqui
326,Baby,"Action, Crime, Thriller","An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",Neeraj Pandey,Akshay KumarDanny DenzongpaRana Daggubati
327,La La Land,"Comedy, Drama, Music","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",Damien Chazelle,Ryan GoslingEmma StoneRosemarie DeWitt
328,Lion,"Biography, Drama","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",Garth Davis,Dev PatelNicole KidmanRooney Mara
329,The Martian,"Adventure, Drama, Sci-Fi","An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",Ridley Scott,Matt DamonJessica ChastainKristen Wiig
330,Zootopia,"Animation, Adventure, Comedy","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",Byron Howard,Rich MooreJared BushGinnifer Goodwin
331,Bãhubali: The Beginning,"Action, Drama","In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",S.S. Rajamouli,PrabhasRana DaggubatiRamya Krishnan
332,Kaguyahime no monogatari,"Animation, Adventure, Drama","Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.",Isao Takahata,Chloë Grace MoretzJames CaanMary Steenburgen
333,Wonder,"Drama, Family","Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",Stephen Chbosky,Jacob TremblayOwen WilsonIzabela Vidovic
334,Gully Boy,"Drama, Music, Romance",A coming-of-age story based on the lives of street rappers in Mumbai.,Zoya Akhtar,Vijay VarmaNakul Roshan SahdevRanveer Singh
335,Special Chabbis,"Crime, Drama, Thriller",A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,Neeraj Pandey,Akshay KumarAnupam KherManoj Bajpayee
336,Short Term 12,Drama,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,Destin Daniel Cretton,Brie LarsonFrantz TurnerJohn Gallagher Jr.
337,Serbuan maut 2: Berandal,"Action, Crime, Thriller","Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",Gareth Evans,Iko UwaisYayan RuhianArifin Putra
338,The Imitation Game,"Biography, Drama, Thriller","During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.",Morten Tyldum,Benedict CumberbatchKeira KnightleyMatthew Goode
339,Guardians of the Galaxy,"Action, Adventure, Comedy",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,James Gunn,Chris PrattVin DieselBradley Cooper
340,Blade Runner 2049,"Action, Drama, Mystery","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Denis Villeneuve,Harrison FordRyan GoslingAna de Armas
341,Her,"Drama, Romance, Sci-Fi","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",Spike Jonze,Joaquin PhoenixAmy AdamsScarlett Johansson
342,Bohemian Rhapsody,"Biography, Drama, Music","The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",Bryan Singer,Rami MalekLucy BoyntonGwilym Lee
343,The Revenant,"Action, Adventure, Drama",A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Alejandro G. Iñárritu,Leonardo DiCaprioTom HardyWill Poulter
344,The Perks of Being a Wallflower,"Drama, Romance",An introvert freshman is taken under the wings of two seniors who welcome him to the real world,Stephen Chbosky,Logan LermanEmma WatsonEzra Miller
345,Tropa de Elite 2: O Inimigo Agora é Outro,"Action, Crime, Drama","After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",José Padilha,Wagner MouraIrandhir SantosAndré Ramiro
346,The King's Speech,"Biography, Drama, History","The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",Tom Hooper,Colin FirthGeoffrey RushHelena Bonham Carter
347,The Help,Drama,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Tate Taylor,Emma StoneViola DavisOctavia Spencer
348,Deadpool,"Action, Adventure, Comedy","A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",Tim Miller,Ryan ReynoldsMorena BaccarinT.J. Miller
349,Darbareye Elly,"Drama, Mystery",The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,Asghar Farhadi,Golshifteh FarahaniShahab HosseiniTaraneh Alidoosti
350,Dev.D,"Drama, Romance","After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",Anurag Kashyap,Abhay DeolMahie GillKalki Koechlin
351,Yip Man,"Action, Biography, Drama","During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.",Wilson Yip,Donnie YenSimon YamSiu-Wong Fan
